Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
36.53,60.86,45.04,0,2,9,1,35,4
23.6,54.64,32.83,4,0,21,1,16,1
24.21,49.11,62.53,1,9,7,0,13,6
28.95,45.51,33.51,3,4,14,4,43,2
28.75,60.69,32.81,0,0,7,8,34,4
29.43,60.47,58.66,1,5,17,0,35,2
35.11,67.01,48.64,0,8,9,3,32,1
33.94,62.53,22.09,0,0,13,19,18,5
30.89,58.68,33.78,4,3,34,2,3,5
33.14,60.57,35.83,3,0,25,2,23,2
29.9,51.27,49.74,1,5,8,0,8,3
32.53,58.97,39.94,3,2,7,0,14,0
25.9,47.84,31.55,4,7,11,2,14,1
34.13,59.23,63.23,2,8,5,6,29,6
30.53,65.11,53.95,1,4,13,0,7,0
26.0,66.36,26.96,1,8,13,12,18,1
27.4,54.83,69.04,2,1,9,7,15,3
38.44,62.45,46.09,3,2,42,0,0,2
29.37,62.57,51.8,3,10,10,0,45,4
29.54,67.83,40.1,2,1,26,2,24,6
31.31,48.85,25.68,0,8,30,1,4,4
32.51,67.8,42.49,0,8,14,0,41,2
28.24,48.4,33.28,3,9,31,4,0,2
39.87,60.83,56.01,1,0,18,0,40,5
22.54,44.49,64.67,1,0,14,9,15,2
39.58,71.07,39.53,2,7,7,1,39,5
36.66,60.99,46.13,2,10,42,1,0,3
30.67,59.09,30.58,3,8,37,4,3,3
28.01,54.25,39.67,3,3,23,4,14,4
25.01,43.66,44.44,2,5,7,13,17,3
29.26,60.28,34.61,2,8,45,0,3,4
35.64,76.74,55.07,2,8,35,4,0,5
25.85,59.28,48.78,3,0,14,2,34,1
27.37,52.08,45.62,1,3,11,1,45,4
26.57,53.34,23.1,0,9,13,0,36,1
36.24,55.86,52.22,4,2,8,2,15,5
39.58,56.11,42.44,4,9,18,0,45,4
33.06,52.39,40.7,2,4,26,3,20,6
32.03,57.94,48.58,1,10,17,1,17,2
26.9,57.31,68.61,0,1,14,12,17,1
33.47,59.46,64.44,4,10,6,0,16,4
40.0,62.39,45.31,1,6,8,0,41,6
31.98,60.7,35.91,2,7,12,12,17,6
32.84,62.04,32.05,4,8,15,0,13,2
27.96,54.06,47.23,0,4,11,0,17,1
32.11,71.86,56.34,1,0,8,0,11,3
37.68,71.36,32.07,1,2,11,4,40,6
33.29,72.81,38.08,3,9,5,19,25,0
24.24,45.3,68.56,1,0,13,0,10,3
29.39,58.92,32.77,4,10,6,20,14,3
34.12,78.05,45.51,4,5,40,0,4,6
31.46,60.92,35.26,0,0,10,2,39,3
25.84,46.79,35.77,1,6,43,0,0,0
30.65,57.55,43.54,0,3,22,0,23,6
36.25,60.68,42.98,0,8,6,8,28,2
28.64,69.09,42.89,2,1,28,2,17,1
30.28,59.17,40.52,3,7,10,0,8,3
36.5,52.36,24.4,3,6,14,4,32,2
21.57,50.51,47.72,0,10,18,0,14,5
33.9,74.86,57.18,4,10,19,0,42,6
37.18,70.69,58.98,3,8,36,1,0,3
33.28,76.03,40.66,1,0,9,17,19,4
29.85,58.07,42.1,4,9,10,17,15,3
21.99,53.33,61.68,3,5,5,3,14,1
23.41,43.66,20.16,1,7,38,0,0,1
30.29,46.16,40.66,1,6,32,0,0,5
31.65,57.0,56.28,3,5,4,12,24,1
32.15,58.22,58.63,1,1,28,0,19,5
30.74,62.79,50.57,4,9,9,2,10,6
22.28,49.97,42.28,1,7,44,0,0,6
29.84,42.95,34.38,1,8,10,13,19,1
36.14,74.84,61.48,4,9,18,1,37,2
39.75,66.91,26.89,0,0,12,4,27,0
30.44,68.6,66.26,1,0,26,0,16,1
30.86,51.58,34.05,3,4,11,1,43,3
30.22,65.07,28.06,3,1,22,1,18,6
30.08,52.22,52.78,3,5,12,4,33,4
37.77,72.96,37.53,0,9,16,0,35,0
20.55,57.33,36.43,3,10,25,0,16,5
30.4,60.18,28.18,2,1,36,0,0,5
28.3,62.72,42.06,1,10,40,0,0,3
33.03,50.75,42.07,2,8,12,0,33,2
24.26,66.8,29.59,2,0,12,0,40,2
36.13,61.57,35.14,2,3,40,1,4,1
36.76,72.35,33.65,0,6,12,3,9,1
30.12,52.36,33.8,4,0,28,0,19,4
22.16,43.31,42.41,3,7,18,0,9,1
32.65,68.89,29.69,1,4,8,0,6,1
26.89,51.17,70.0,1,8,37,3,4,0
33.44,59.53,70.0,1,1,12,0,41,5
29.67,47.88,23.8,3,2,25,4,18,0
25.12,50.56,52.48,4,4,13,1,11,4
36.37,67.68,30.08,2,9,39,0,2,2
29.06,68.31,52.37,3,2,16,0,10,1
25.78,64.69,32.38,2,0,13,4,38,4
30.4,55.27,41.63,1,2,17,2,29,5
36.0,59.46,52.35,1,10,9,13,10,4
25.43,48.84,35.9,0,7,35,0,0,2
34.49,54.23,21.17,0,8,16,1,38,5
30.5,59.68,35.22,0,10,11,4,18,6
24.25,67.07,21.47,2,9,12,15,20,2
35.42,65.57,43.67,1,7,44,4,0,2
30.41,64.96,48.09,0,7,10,2,33,5
27.52,42.91,21.12,3,2,15,15,13,0
24.68,49.97,70.0,2,0,11,4,12,5
29.32,64.15,57.63,0,1,7,10,10,4
31.83,55.75,46.33,4,4,17,10,12,6
40.0,61.76,49.42,2,1,4,11,29,6
27.8,65.85,31.27,1,10,9,3,26,3
31.7,55.64,40.28,4,3,13,2,13,2
29.0,65.07,70.0,3,3,10,2,32,5
29.04,70.01,36.9,0,0,12,0,13,5
27.98,42.2,60.29,1,7,7,17,14,3
35.17,73.71,70.0,2,3,12,0,35,6
26.03,44.6,30.68,3,1,12,7,31,3
27.89,59.42,32.46,4,9,23,1,19,1
38.67,65.53,64.36,0,5,34,0,0,5
24.54,46.43,32.67,0,2,17,0,17,4
32.82,66.47,59.62,3,2,10,3,37,0
24.05,56.01,29.3,3,8,14,18,12,0
32.67,66.98,67.27,2,1,6,0,39,6
31.25,49.31,59.62,4,2,8,2,11,4
21.28,54.65,57.82,1,1,8,0,4,4
33.5,71.43,63.29,1,9,6,9,10,1
30.14,74.53,67.61,0,6,7,5,25,2
28.38,62.44,55.9,0,10,13,0,39,3
40.0,53.38,44.17,0,0,18,4,36,3
30.51,56.56,31.01,4,2,16,0,14,0
29.85,60.19,51.81,0,4,17,0,23,5
27.57,58.96,56.6,3,10,13,3,39,5
31.19,60.99,46.6,3,7,21,0,26,6
26.57,53.43,43.69,1,2,19,4,21,4
21.45,47.54,35.03,3,9,21,0,20,2
25.87,64.11,67.58,2,10,4,10,27,6
23.29,59.14,42.14,3,3,37,0,3,2
24.68,58.73,43.06,4,4,38,4,1,5
33.95,62.48,20.64,0,7,5,12,19,2
26.33,59.59,55.24,0,1,7,4,10,6
40.0,68.68,34.13,4,2,8,10,25,4
27.62,67.62,64.74,3,0,6,3,37,0
27.96,53.07,59.54,1,7,9,4,33,2
26.49,61.97,42.04,1,2,12,16,13,5
29.25,62.0,55.15,1,0,12,0,36,0
23.74,55.81,61.5,2,7,6,9,15,5
25.85,48.14,39.33,2,3,32,0,0,6
30.07,59.72,61.15,1,7,12,15,11,5
30.02,55.06,30.59,3,10,10,0,40,2
21.68,57.86,23.08,3,7,16,0,12,6
20.42,53.57,38.87,2,1,5,18,17,3
32.8,65.87,49.94,1,0,33,0,0,1
33.34,61.94,32.31,0,8,8,0,32,2
31.25,68.53,66.94,3,5,6,16,14,4
37.61,64.57,34.12,1,7,38,0,0,6
34.15,68.11,46.5,1,7,8,12,30,4
27.67,59.9,26.38,0,1,41,0,2,6
22.34,45.29,39.49,2,4,38,0,0,0
21.07,60.95,61.29,1,4,6,0,6,3
27.82,57.43,30.84,2,1,2,15,24,5
23.11,49.15,32.6,0,1,9,3,37,2
24.0,49.02,37.37,1,8,11,0,13,5
29.13,43.28,36.14,0,8,39,0,4,1
23.46,50.44,24.32,0,1,37,0,4,1
28.08,52.69,32.35,1,2,12,3,34,2
21.29,54.85,26.51,4,4,11,0,39,2
28.54,49.45,46.17,3,4,31,0,0,0
31.21,60.48,37.27,1,5,36,0,1,1
22.97,44.59,43.69,1,0,19,3,28,4
27.52,52.42,36.15,3,3,9,0,38,5
26.76,43.31,43.64,3,5,2,15,20,3
30.57,64.68,51.73,1,10,7,12,8,5
37.11,77.37,42.03,1,1,4,4,27,5
34.97,72.4,57.83,2,10,21,0,23,5
32.85,69.09,29.04,0,2,16,0,12,1
24.33,66.27,70.0,0,2,8,2,34,3
23.84,60.67,36.47,4,7,38,1,1,5
35.36,64.36,36.49,2,10,41,3,4,5
27.09,62.94,50.51,3,10,11,0,38,5
25.2,48.23,41.84,0,2,38,1,0,3
23.98,52.41,24.26,2,2,41,4,2,2
32.12,57.29,40.78,4,4,42,1,3,5
28.29,57.33,52.55,1,1,26,0,22,4
27.8,44.81,22.17,3,8,14,1,45,2
35.41,69.11,70.0,1,8,4,9,25,0
34.46,74.6,45.35,3,5,10,10,12,5
26.25,69.57,37.25,3,9,10,0,4,4
40.0,76.34,22.1,0,5,11,0,36,3
29.5,50.06,63.05,1,7,10,0,9,3
27.13,43.23,35.28,3,6,26,3,22,1
28.99,66.71,43.03,1,6,22,4,21,5
25.14,46.88,28.19,2,1,16,3,36,5
27.79,62.14,30.06,3,8,7,10,25,0
33.41,67.81,41.34,2,2,10,2,41,3
25.2,44.1,46.96,3,5,12,6,29,5
34.19,56.72,63.64,1,9,18,4,33,3
37.3,68.57,44.84,0,7,5,4,34,5
31.78,59.11,44.18,0,7,22,4,27,6
32.11,71.08,29.01,4,0,35,0,0,0
36.82,57.69,30.19,3,0,39,0,3,4
25.12,64.48,52.92,4,10,16,0,8,1
31.33,72.92,35.31,3,9,14,0,35,2
29.93,55.77,48.12,1,9,42,0,0,0
32.68,58.16,41.4,2,6,38,2,0,3
28.17,50.1,57.67,4,1,14,0,6,2
35.81,76.09,24.48,3,6,10,0,37,5
38.04,62.28,44.38,1,7,12,3,24,6
31.55,53.02,39.4,1,1,8,0,16,6
29.14,59.77,42.79,1,0,38,0,0,0
34.31,63.01,44.96,0,9,37,0,3,5
27.54,58.58,30.71,0,9,43,1,2,5
27.92,52.23,46.52,4,9,38,0,0,4
24.6,51.17,29.76,1,10,32,3,0,2
28.87,57.65,56.9,0,0,11,16,14,4
28.85,58.79,66.37,4,1,10,12,30,0
33.72,61.76,45.98,1,3,13,0,38,0
30.63,60.56,22.33,0,3,40,0,4,6
27.05,50.1,30.22,4,3,38,0,2,1
22.79,59.47,28.56,4,4,37,0,0,0
38.77,55.67,55.59,1,6,14,18,11,5
28.8,49.98,58.83,0,8,14,10,17,3
27.76,65.79,45.56,2,2,12,15,15,1
22.48,53.68,29.96,1,4,18,17,10,0
32.73,55.44,47.85,1,2,45,1,3,0
24.2,41.69,33.6,3,2,19,13,13,0
30.17,59.06,40.76,2,1,12,2,41,1
40.0,67.75,57.85,2,0,10,11,24,5
38.33,58.9,40.27,1,1,41,1,0,1
26.86,46.9,28.95,1,10,11,14,32,0
25.56,61.54,26.89,4,9,36,3,0,4
26.54,45.74,70.0,3,9,33,0,0,1
29.36,52.93,54.82,3,5,7,0,18,5
24.44,46.56,30.45,3,2,6,16,17,3
27.95,69.26,31.79,3,2,0,15,18,0
37.22,64.38,63.58,3,9,6,0,11,5
30.57,47.43,58.26,4,2,11,0,8,3
24.1,63.6,25.87,1,8,9,3,9,1
37.79,62.57,61.86,1,8,13,1,41,3
30.33,55.01,27.78,2,9,26,0,19,3
28.18,65.54,54.63,1,4,12,19,12,6
24.23,58.48,50.97,3,9,30,0,0,1
31.35,68.81,41.39,0,5,13,0,36,3
35.83,76.88,66.33,3,8,13,0,40,1
33.04,56.04,63.33,0,3,10,3,13,6
36.49,74.83,63.59,3,8,37,3,0,4
30.11,48.12,54.43,3,3,6,2,15,4
20.3,44.44,41.86,2,7,20,4,18,1
32.82,65.38,24.04,3,2,39,4,0,4
32.87,59.11,59.71,1,8,10,0,14,6
30.81,51.96,35.61,2,4,15,9,17,3
38.65,71.63,59.06,4,9,6,6,30,3
32.86,68.29,37.77,0,3,18,2,32,6
22.72,50.47,51.87,0,8,9,17,11,5
27.14,58.79,66.42,4,9,5,7,33,5
32.33,74.41,49.11,2,2,43,0,3,1
31.57,59.49,44.41,2,10,33,0,0,0
33.92,70.37,55.46,4,1,24,0,17,2
23.64,54.21,33.68,1,0,30,1,0,6
26.46,60.34,48.97,3,9,8,10,26,5
35.48,68.25,34.7,1,10,14,2,13,1
40.0,80.0,56.82,3,9,43,0,0,0
29.3,44.76,52.52,3,6,7,0,11,2
31.85,56.67,68.54,4,8,10,11,15,0
37.34,56.16,66.28,2,2,9,4,17,5
39.21,74.83,33.14,4,10,11,10,28,1
35.11,67.52,40.53,0,6,9,1,36,5
30.26,42.39,34.0,0,10,20,1,22,4
27.72,47.55,65.62,4,10,40,0,0,2
37.43,61.49,29.07,3,7,10,2,11,4
39.16,75.73,34.03,0,8,12,3,31,1
29.62,57.58,56.91,1,7,12,17,13,4
32.11,68.19,40.77,1,6,8,0,8,5
33.45,64.37,58.6,2,4,11,11,14,1
32.97,58.85,60.26,0,6,36,0,0,3
34.98,59.82,34.18,2,4,8,1,42,5
23.6,46.17,50.36,3,1,8,10,10,1
28.85,45.61,27.28,1,4,39,2,2,5
24.76,45.87,45.72,1,9,37,3,0,4
38.26,65.76,29.84,0,7,23,0,22,5
36.67,66.99,57.65,1,7,35,0,0,6
32.15,59.62,52.44,3,10,10,1,39,4
40.0,71.5,35.55,2,9,9,9,28,0
31.55,52.46,20.0,4,8,9,4,42,2
25.85,47.66,44.43,1,2,25,3,20,0
29.09,53.7,30.89,3,8,45,0,0,6
35.09,73.25,64.96,3,6,22,1,15,3
36.28,57.76,50.83,1,7,26,0,23,0
31.96,62.45,49.67,4,9,15,2,10,6
36.03,68.01,34.95,3,0,22,0,22,3
31.63,56.04,35.55,3,5,14,0,34,4
37.72,53.18,50.18,3,4,10,0,36,6
34.19,58.06,70.0,2,6,12,13,11,0
24.85,44.22,44.43,0,2,19,0,22,0
26.79,51.89,45.51,4,3,28,4,21,1
28.9,48.82,25.28,3,9,7,8,31,4
32.48,55.58,37.82,2,5,13,1,33,3
29.28,54.11,33.43,2,8,12,4,35,6
23.96,52.37,25.81,4,3,5,10,33,5
36.64,64.68,42.16,0,10,33,0,4,6
26.37,60.29,50.88,0,4,34,0,1,1
33.21,79.62,35.61,2,0,13,1,34,6
34.78,55.26,29.66,0,2,9,0,38,0
31.53,61.06,40.48,0,2,41,1,0,4
26.71,49.27,30.54,4,2,11,2,45,4
30.89,66.92,30.15,0,5,15,0,41,4
25.99,57.23,60.76,4,2,7,10,32,3
35.33,63.38,24.82,4,5,10,0,39,2
32.14,67.16,57.06,1,8,17,0,36,0
26.59,52.74,51.85,1,9,11,0,32,4
29.09,65.94,42.43,2,6,9,0,6,3
33.4,72.33,23.7,3,9,9,7,28,0
24.53,59.27,42.34,1,8,27,0,28,4
37.56,61.34,62.16,0,8,7,0,9,0
24.83,54.28,62.54,1,3,12,1,30,0
29.19,47.17,37.7,0,2,15,0,17,3
35.36,66.71,31.57,4,10,20,0,28,6
32.94,58.58,52.48,3,0,13,4,34,0
39.46,69.85,20.0,3,8,9,7,33,6
29.13,62.34,26.54,3,10,2,12,15,2
39.89,68.39,50.49,0,6,5,0,34,3
23.49,45.84,58.18,1,10,38,0,0,6
30.68,63.25,46.38,0,6,14,0,11,1
24.41,56.8,34.97,4,1,23,1,15,1
33.88,80.0,54.46,0,5,35,0,0,0
27.17,69.52,47.69,4,3,16,18,10,2
35.51,72.18,36.2,2,3,12,0,31,5
32.08,55.08,52.81,3,2,6,12,32,5
35.09,72.5,46.73,4,0,38,0,0,5
29.74,48.18,62.44,0,9,39,0,0,1
28.54,63.37,52.98,1,8,3,12,27,2
33.65,60.55,62.52,0,9,9,0,14,6
31.89,59.31,30.26,3,4,16,0,11,4
27.42,62.06,43.64,1,3,20,3,20,2
34.32,59.44,33.94,2,1,25,0,23,5
26.61,43.26,46.1,1,1,21,1,23,3
32.76,48.27,44.77,1,4,41,0,1,0
29.58,56.08,67.27,3,1,9,0,34,0
35.14,58.65,43.04,4,7,11,19,13,1
29.99,52.36,48.22,0,7,16,0,39,2
24.71,53.0,33.7,4,4,12,3,26,1
37.83,62.2,38.9,3,8,16,1,36,5
29.62,67.51,41.82,1,10,39,2,2,4
24.59,58.67,52.83,4,1,16,2,39,6
38.92,59.35,41.61,1,1,11,2,10,4
24.95,54.7,25.03,4,10,44,0,0,5
34.84,66.6,26.52,3,2,12,0,35,2
24.75,49.42,45.06,1,1,8,13,11,3
34.76,66.83,47.24,1,10,9,9,15,5
34.36,59.48,61.29,4,3,3,5,30,1
33.1,52.18,63.48,3,10,6,5,33,3
22.53,60.17,52.65,2,7,26,0,17,1
33.29,57.7,37.44,0,4,34,0,0,6
26.95,62.85,63.53,1,5,10,0,38,6
28.76,54.72,37.74,3,10,14,1,16,5
26.27,49.13,21.16,4,2,10,18,12,4
31.58,66.26,59.62,4,6,38,0,1,5
25.22,60.2,52.04,1,9,37,1,0,1
33.11,71.83,57.15,2,6,8,19,20,2
29.94,62.39,35.14,3,9,10,0,6,0
25.72,60.71,43.46,1,10,27,2,20,4
29.16,50.01,56.58,1,3,12,11,30,1
40.0,74.03,39.34,2,6,8,0,17,0
27.65,55.35,34.36,0,7,37,3,0,1
29.72,71.91,52.5,3,9,4,4,28,6
28.03,53.76,60.86,4,10,13,0,10,6
29.86,59.28,62.62,4,3,25,0,19,3
32.86,62.77,31.22,3,5,38,1,0,0
23.9,44.45,32.53,3,0,15,4,39,0
30.2,57.56,52.01,2,10,27,0,19,2
26.86,61.34,45.62,0,5,18,3,17,0
21.51,55.9,45.54,1,3,22,3,22,4
28.78,66.87,49.42,1,4,10,0,40,0
29.54,54.73,69.41,2,7,32,0,0,5
35.77,58.62,25.35,4,5,26,1,17,3
30.85,67.85,27.32,2,2,33,3,0,3
35.66,68.89,32.88,3,5,11,0,42,3
30.37,61.22,43.8,2,6,3,18,17,6
26.62,66.89,62.01,3,5,16,3,9,6
33.88,72.42,32.65,0,2,13,0,36,5
40.0,79.99,35.61,2,8,7,0,38,0
33.2,53.06,64.27,4,8,12,8,33,1
27.05,50.17,43.61,2,4,34,0,0,1
25.34,51.56,38.67,1,0,37,2,0,0
34.03,61.12,35.57,1,1,8,1,40,0
27.22,58.67,43.43,3,9,20,0,18,1
24.41,53.52,66.7,0,4,42,3,1,1
30.88,56.44,68.29,4,3,12,0,10,3
26.62,58.03,23.34,4,2,13,0,37,3
30.9,68.66,34.94,1,10,8,0,18,3
32.61,63.84,45.4,0,8,21,2,14,0
25.11,49.18,41.82,3,6,36,0,0,5
31.05,52.85,37.01,1,8,15,2,38,2
29.6,70.57,54.2,0,8,21,4,21,1
23.25,48.93,24.15,0,5,39,0,0,6
27.69,55.28,34.84,1,2,35,1,0,0
23.33,59.29,45.53,2,9,25,3,16,3
39.91,76.62,45.94,3,4,40,0,0,3
27.11,66.09,67.85,0,10,10,8,26,3
27.18,59.42,53.2,1,7,12,11,26,6
30.72,62.41,35.53,4,0,34,0,0,1
24.51,46.17,65.49,4,8,42,2,0,0
35.48,55.43,28.66,3,4,17,2,19,0
33.63,71.51,43.87,2,9,16,0,26,0
35.39,65.38,54.92,4,6,17,0,40,0
26.3,62.73,20.0,0,4,10,4,43,0
25.98,51.85,70.0,0,7,38,1,0,6
28.26,50.41,34.56,1,0,12,9,23,2
35.36,69.36,54.93,3,5,16,4,40,1
37.61,60.54,64.55,2,3,22,2,20,4
30.21,59.88,47.25,2,6,33,0,0,6
35.04,69.99,33.2,0,7,34,2,2,2
30.78,66.91,63.26,2,5,4,8,25,3
30.9,52.93,43.05,3,4,12,0,9,1
38.8,74.45,38.5,3,2,11,0,39,3
29.07,73.52,52.71,2,4,39,0,0,4
29.8,52.93,39.95,0,8,18,2,19,5
33.53,68.45,31.56,3,8,39,0,1,2
35.43,73.21,53.28,2,10,42,4,0,0
21.05,45.03,70.0,3,1,31,4,0,3
27.48,47.09,27.89,0,1,39,2,4,6
29.54,60.61,54.07,2,8,12,11,34,5
38.11,69.4,54.47,0,10,23,0,23,1
28.55,50.92,36.81,4,5,24,4,22,2
35.38,55.86,42.48,4,7,12,8,11,2
34.35,56.75,61.79,0,9,12,14,11,4
27.07,54.74,36.04,3,9,5,2,16,6
40.0,75.03,42.43,0,7,9,3,29,2
26.28,48.37,65.31,0,4,13,17,11,0
36.48,63.87,20.37,4,8,34,0,0,6
36.73,56.57,49.51,3,4,11,2,11,0
36.22,63.83,37.08,3,9,11,1,41,2
32.23,54.15,54.33,3,8,20,0,19,5
40.0,74.84,47.75,4,1,35,1,0,1
32.17,63.37,31.63,3,2,37,0,0,3
29.44,50.92,34.24,2,0,36,0,0,3
25.42,52.97,21.71,3,6,10,3,14,2
29.19,61.81,48.68,1,8,7,1,8,2
27.44,54.73,62.9,1,3,8,2,5,4
25.08,66.46,20.54,1,4,9,3,41,4
32.32,58.02,68.23,4,8,13,0,34,0
28.86,61.44,55.03,1,8,12,14,18,3
36.97,72.6,43.87,4,2,39,0,0,1
29.5,69.16,41.62,2,1,24,1,26,4
31.36,52.48,65.81,2,1,7,10,30,2
22.06,56.16,61.45,3,9,11,0,16,1
33.36,62.22,24.56,4,4,8,2,39,0
28.16,53.4,40.78,4,4,13,0,17,3
36.49,75.76,26.28,0,10,13,0,41,6
37.5,64.03,58.94,2,5,12,0,8,2
37.31,66.86,70.0,3,9,14,3,38,4
25.35,50.13,25.76,3,3,5,8,26,0
28.71,64.1,44.78,2,3,8,0,11,1
31.77,65.53,40.43,0,1,13,14,16,4
30.79,63.59,37.55,1,4,19,0,25,3
26.02,48.46,37.47,2,2,38,2,3,4
29.34,72.39,39.94,3,1,24,2,16,2
36.2,58.84,44.43,1,4,6,0,36,0
35.97,56.08,39.97,0,8,24,0,28,1
21.93,47.19,41.85,2,5,20,0,23,3
36.44,69.49,70.0,2,2,12,2,40,3
28.5,65.5,63.01,2,5,14,0,36,6
28.75,45.15,32.3,1,8,4,14,15,3
31.11,63.86,68.38,2,6,12,1,42,1
26.43,45.04,30.14,0,8,10,2,43,5
29.0,73.39,38.46,1,10,35,0,0,6
37.55,62.6,24.11,4,6,10,0,37,0
26.18,47.19,39.82,2,0,33,0,0,5
33.14,68.2,49.7,1,6,11,12,26,2
27.37,46.45,46.45,1,1,6,14,10,5
30.82,56.86,48.67,0,7,1,4,24,1
31.92,67.01,48.12,3,2,43,3,0,4
33.98,51.19,32.23,3,8,13,5,30,6
30.01,57.83,61.88,3,9,31,0,0,5
28.65,49.45,27.65,2,2,6,6,32,2
23.43,46.91,62.82,3,7,35,0,4,6
35.77,60.14,36.61,0,3,8,15,19,0
38.55,58.08,53.88,2,6,15,14,16,2
26.71,42.66,48.03,0,4,7,0,32,4
31.59,69.57,52.01,0,9,13,4,37,4
29.49,67.11,63.28,0,5,9,15,11,4
32.29,56.56,63.14,2,0,26,2,18,0
25.89,52.78,32.13,2,5,9,10,30,0
22.39,59.45,42.31,3,7,27,2,18,0
24.48,64.32,40.94,1,2,11,0,12,2
30.09,52.45,34.93,0,0,40,0,0,3
30.67,44.15,46.13,2,3,21,0,24,4
29.46,64.44,26.19,1,9,7,7,29,4
34.69,71.9,21.7,2,1,3,9,30,6
24.97,59.67,27.05,3,6,9,11,34,6
24.87,56.1,31.14,4,1,40,0,1,0
33.86,62.68,37.06,2,6,7,4,43,0
33.35,53.25,64.49,4,4,10,5,24,4
27.73,53.14,25.75,1,8,5,10,32,4
37.09,56.19,40.03,2,6,25,0,22,6
26.19,61.82,26.83,4,2,38,1,1,5
24.93,67.58,47.18,3,4,15,0,37,3
33.39,71.79,31.6,0,10,11,2,39,4
32.93,56.53,28.8,1,3,11,8,27,2
28.87,42.05,50.69,1,5,13,0,4,1
36.94,53.17,24.98,4,6,20,3,27,3
26.55,70.7,64.77,2,1,6,10,11,5
26.48,49.62,32.7,4,5,18,9,14,3
35.14,69.23,39.79,4,2,36,2,0,2
30.29,55.55,44.77,3,10,18,0,10,3
21.54,43.75,56.74,1,10,7,0,7,0
26.69,61.8,55.35,4,6,17,0,20,1
37.94,60.1,56.48,2,3,8,7,25,2
20.53,53.88,68.8,3,9,10,3,10,1
30.62,46.34,61.19,0,0,5,4,14,4
24.14,45.84,44.84,0,8,7,22,14,3
21.95,59.83,69.07,4,10,38,0,0,5
34.26,69.87,24.2,3,9,20,0,19,1
24.98,67.9,70.0,2,10,14,0,38,0
23.0,55.77,37.58,1,8,25,0,20,2
30.49,59.19,51.04,3,1,11,16,15,3
31.65,69.41,33.59,4,4,6,0,34,3
30.68,61.61,38.4,2,6,36,0,3,1
22.27,53.67,28.01,0,7,16,0,13,0
30.65,59.18,52.5,1,6,16,3,10,3
27.86,59.92,36.56,2,5,14,0,40,3
31.58,55.46,70.0,3,10,28,0,20,5
26.73,56.88,29.16,3,3,6,16,21,1
27.32,69.77,41.0,2,0,8,0,6,0
31.49,69.94,50.94,0,6,36,0,2,1
39.76,50.39,44.02,3,10,11,1,38,2
28.09,68.54,27.88,3,3,11,5,32,0
33.22,67.49,46.8,1,7,9,10,29,4
33.09,77.6,43.37,1,3,35,0,2,6
27.89,49.02,36.06,0,4,11,10,13,5
31.17,69.37,43.42,4,8,20,4,26,3
31.53,56.66,34.79,1,2,6,0,9,0
36.4,62.17,27.49,2,2,6,4,34,3
35.25,53.22,40.74,4,7,13,4,40,5
29.6,51.91,43.03,4,8,36,0,0,0
31.32,65.36,47.86,0,8,6,7,25,4
32.98,67.67,45.92,2,0,25,3,21,1
28.48,49.43,44.67,4,0,3,0,14,2
38.56,74.3,55.08,0,5,13,0,39,6
28.02,48.84,51.42,4,10,8,3,29,4
37.73,70.55,52.64,0,6,7,21,24,2
27.7,62.14,37.45,4,10,21,0,19,0
28.26,59.17,33.07,3,7,35,0,0,4
23.32,60.72,41.52,2,8,21,0,23,6
23.39,59.59,32.49,3,4,17,0,21,2
31.91,64.57,48.22,4,8,16,19,9,4
29.26,60.97,49.42,3,1,25,0,21,1
26.27,51.6,34.24,4,10,8,7,25,0
32.53,56.56,54.29,1,7,26,0,16,3
25.72,53.66,21.91,3,0,6,10,31,4
28.01,42.25,31.47,0,3,6,15,23,5
34.74,68.72,29.09,2,9,40,2,0,5
22.55,43.39,55.77,4,4,4,0,12,6
34.51,66.37,51.86,0,6,35,4,0,4
38.69,71.21,50.84,2,10,8,18,8,6
30.33,52.42,35.68,4,10,22,0,13,5
28.97,59.55,36.01,4,10,8,11,18,2
35.45,70.4,26.6,2,3,39,0,2,5
31.27,70.01,49.6,3,8,10,16,23,0
23.79,63.74,20.0,3,10,7,9,31,2
31.04,45.07,31.17,1,4,9,4,17,4
28.78,47.92,40.88,1,7,16,12,14,4
35.87,54.52,43.39,2,7,17,3,37,6
29.98,45.13,41.6,2,9,11,18,15,0
31.61,65.58,41.29,2,5,28,0,18,1
36.29,68.59,62.11,4,7,37,0,0,1
31.74,64.98,31.38,2,6,41,4,0,0
24.78,60.16,32.61,4,3,38,4,0,5
32.21,54.41,61.25,1,3,15,0,13,4
39.02,65.96,31.19,4,1,10,10,30,5
27.01,57.18,41.37,1,0,38,2,0,4
25.91,59.25,20.86,1,2,37,2,3,3
29.51,57.2,41.79,2,1,40,3,4,2
26.13,52.53,60.62,4,3,9,9,33,5
30.54,60.14,32.76,1,8,26,0,26,1
31.78,66.16,38.27,1,3,23,0,22,3
22.1,52.62,42.41,0,6,24,0,19,2
28.89,52.69,65.95,1,7,8,0,5,1
23.98,55.96,30.85,3,10,7,19,11,6
35.61,66.92,54.5,1,8,44,0,0,5
30.52,54.37,41.46,2,1,7,19,17,5
31.74,53.09,66.97,4,1,13,8,28,6
29.78,73.97,57.26,4,6,11,0,42,6
32.94,74.58,61.13,1,6,40,0,3,0
